Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Recommended_Exercises,Exercise_Type_Details
56,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4,3,30.2,"Single-arm high-cable side bend, Holman Alternating Front Raise to Side Raise, Kettlebell Arnold Press","Type: Stretching, Equipment: Body Only, Level: Intermediate"
46,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,32.0,"Holman Left Hand Right Foot Sleeping Crab, FYR2 Double-Kettlebell Ballin' Lunge, Holman Right Squat Thrust","Type: Cardio, Equipment: Body Only, Level: Intermediate"
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,24.71,"HM Single-Leg Touchdown, HM Banded Squat Toe Tap, UN Barbell Front Squat","Type: Cardio, Equipment: Other, Level: Beginner"
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.41,"FYR Sprawl Frog Kick, Holman Prisoner Reverse Lunge, MetaBurn Side Crawler","Type: Strength, Equipment: Body Only, Level: Beginner"
38,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.39,"Feet-Elevated TRX Push-Up, Dumbbell Fix Dumbbell Russian Twist, Exercise ball superman","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
56,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,15.5,2.7,5,3,20.55,"Alternating single-leg sprawl, Muscle Beach Spin Kick, Holman Hill Climber","Type: Cardio, Equipment: Other, Level: Intermediate"
36,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3,2,23.76,"Squat - Gethin Variation, MetaBurn Dumbbell Wide Squat to Rack, Leverage Deadlift","Type: Cardio, Equipment: Body Only, Level: Intermediate"
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,30.57,"Frankenstein Squat, Lying Prone Quadriceps, King Maker Barbell Back Squat","Type: Cardio, Equipment: Machine, Level: Intermediate"
28,Male,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4,2,32.34,"Standing Dumbbell Reverse Curl, Barbell Front-To-Back Squat, 30 Arms Close-Grip Push-Up","Type: Strength, Equipment: Barbell, Level: Intermediate"
28,Male,101.8,1.84,169,136,64,1.08,808.0,Cardio,29.7,2.7,3,1,30.07,"Barbell reverse lunge, Holman Kettlebell Squat Clean, UN Barbell Back Squat","Type: Cardio, Equipment: Body Only, Level: Beginner"
41,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,20.5,3.0,2,1,43.31,"Seated bar twist, Holman Flying Squat Thrust to Shoulder Tap, Holman Right Hip Drop Push-Up","Type: Cardio, Equipment: Other, Level: Intermediate"
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.89,"Dumbbell crusher, Holman Elbow Plank to Walk-Up Pike, Jump Lunge","Type: Cardio, Equipment: Other, Level: Intermediate"
57,Male,112.5,1.61,195,165,61,1.24,1013.0,Cardio,22.1,2.7,3,2,43.4,"Barbell Front-To-Back Squat, Barbell step-up, Single-leg box squat","Type: Cardio, Equipment: Body Only, Level: Intermediate"
41,Male,94.5,2.0,179,136,69,1.18,794.0,HIIT,27.6,3.7,3,1,23.62,"Holman Hands Down Heel Click, Holman Heavy Double Pike, FYR2 Loaded Beast Sprawl","Type: Cardio, Equipment: Body Only, Level: Beginner"
20,Male,117.7,1.81,196,161,54,1.35,1195.0,Yoga,26.4,3.3,3,2,35.93,"Decline band press sit-up, ACFT Hanging leg tuck, RG Seated Dumbbell Shoulder Press","Type: Stretching, Equipment: Body Only, Level: Beginner"
